,Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity,TTQ,Month,Year,PxV,Day_Perc_Change,Trend
259,2018-10-12,1788.61,1808.0,1808.95,1742.53,9.44M,9440000,10,2018,16884478400.0,0.01570743064822966,No Change
260,2018-10-11,1719.36,1724.0,1755.4,1685.1,13.94M,13940000,10,2018,23967878400.0,-0.038717216162271306,No Change
261,2018-10-10,1755.25,1857.89,1858.56,1754.41,10.99M,10990000,10,2018,19290197500.0,0.020874046156709625,No Change
262,2018-10-09,1870.32,1859.99,1896.68,1852.32,4.77M,4770000,10,2018,8921426400.0,0.06555761287565876,No Change
263,2018-10-08,1864.42,1874.0,1902.0,1830.66,7.39M,7390000,10,2018,13778063800.0,-0.0031545403995038024,No Change
264,2018-10-05,1889.65,1917.99,1929.08,1862.83,6.82M,6820000,10,2018,12887413000.0,0.01353235858872992,No Change
265,2018-10-04,1909.42,1949.0,1956.0,1896.57,7.26M,7260000,10,2018,13862389200.0,0.010462254914931357,No Change
266,2018-10-03,1952.76,1981.7,1989.7,1949.81,5.25M,5250000,10,2018,10251990000.0,0.022697992060416228,No Change
267,2018-10-02,1971.31,1999.99,2013.39,1965.77,5.40M,5400000,10,2018,10645074000.0,0.009499375243245511,No Change
268,2018-10-01,2004.36,2021.99,2033.19,2003.6,3.47M,3470000,10,2018,6955129200.0,0.016765501113472636,No Change
269,2018-09-28,2003.0,2004.41,2026.52,1996.46,4.09M,4090000,9,2018,8192270000.0,-0.0006785208246022911,No Change
270,2018-09-27,2012.98,1993.24,2016.16,1988.58,4.33M,4330000,9,2018,8716203400.0,0.004982526210683957,No Change
271,2018-09-26,1974.85,1968.5,1995.25,1961.52,4.31M,4310000,9,2018,8511603500.0,-0.018942065991713886,No Change
272,2018-09-25,1974.55,1942.9,1975.91,1938.85,4.54M,4540000,9,2018,8964457000.0,-0.00015191027166616689,No Change
273,2018-09-24,1934.36,1903.79,1936.88,1865.0,4.21M,4210000,9,2018,8143655600.0,-0.02035400470993398,No Change
274,2018-09-21,1915.01,1954.22,1957.31,1910.5,6.86M,6860000,9,2018,13136968600.0,-0.010003308587853255,No Change
275,2018-09-20,1944.3,1938.58,1955.0,1932.25,3.15M,3150000,9,2018,6124545000.0,0.015294959295251598,No Change
276,2018-09-19,1926.42,1940.5,1940.83,1904.9,4.06M,4059999,9,2018,7821263273.58,-0.009196111711155641,No Change
277,2018-09-18,1941.05,1918.65,1958.2,1915.44,4.27M,4270000,9,2018,8288283500.0,0.007594397898692762,No Change
278,2018-09-17,1908.03,1954.73,1956.82,1887.41,7.05M,7050000,9,2018,13451611500.0,-0.017011411349527328,No Change
279,2018-09-14,1970.19,1992.93,1993.65,1959.22,3.64M,3640000,9,2018,7171491600.0,0.032578104117859885,No Change
280,2018-09-13,1989.87,2000.0,2008.76,1982.03,3.62M,3620000,9,2018,7203329400.0,0.009988884320801361,No Change
281,2018-09-12,1990.0,1994.0,2000.0,1962.44,4.41M,4410000,9,2018,8775900000.0,6.533090101368266e-05,No Change
282,2018-09-11,1987.15,1928.27,1988.88,1917.0,5.03M,5030000,9,2018,9995364500.0,-0.0014321608040200884,No Change
283,2018-09-10,1939.01,1971.0,1973.04,1931.52,4.54M,4540000,9,2018,8803105400.0,-0.024225649799964777,No Change
284,2018-09-07,1952.07,1938.71,1975.2,1937.35,4.89M,4890000,9,2018,9545622300.0,0.006735395897906615,No Change
285,2018-09-06,1958.31,2006.51,2007.5,1935.21,7.49M,7490000,9,2018,14667741900.0,0.0031966066790638514,No Change
286,2018-09-05,1994.82,2038.11,2040.38,1989.89,8.22M,8220000,9,2018,16397420400.0,0.01864362639214434,No Change
287,2018-09-04,2039.51,2026.5,2050.5,2013.0,5.72M,5720000,9,2018,11665997200.0,0.0224030238317241,No Change
288,2018-08-31,2012.71,2007.0,2022.38,2004.74,4.20M,4200000,8,2018,8453382000.0,-0.013140411177194555,No Change
289,2018-08-30,2002.38,1997.42,2025.57,1986.9,7.28M,7280000,8,2018,14577326400.0,-0.005132383701576426,No Change
290,2018-08-29,1998.1,1953.45,1998.69,1948.94,6.53M,6530000,8,2018,13047593000.0,-0.0021374564268521468,No Change
291,2018-08-28,1932.82,1937.73,1941.78,1928.82,3.10M,3100000,8,2018,5991742000.0,-0.03267103748561129,No Change
292,2018-08-27,1927.68,1915.0,1927.7,1909.28,3.57M,3570000,8,2018,6881817600.0,-0.002659326786767502,No Change
293,2018-08-24,1905.39,1910.51,1916.01,1902.54,2.80M,2800000,8,2018,5335092000.0,-0.011563122509960166,No Change
294,2018-08-23,1902.9,1907.17,1919.5,1900.76,3.56M,3560000,8,2018,6774324000.0,-0.0013068190764095045,No Change
295,2018-08-22,1904.9,1876.64,1905.8,1876.64,3.08M,3080000,8,2018,5867092000.0,0.001051027379263214,No Change
296,2018-08-21,1883.42,1880.0,1897.75,1874.4,3.11M,3110000,8,2018,5857436200.0,-0.011276182476770424,No Change
297,2018-08-20,1876.71,1890.57,1891.75,1866.06,2.86M,2860000,8,2018,5367390600.0,-0.003562667912627049,No Change
298,2018-08-17,1882.22,1885.8,1888.0,1855.55,4.10M,4099999,8,2018,7717100117.78,0.0029359890446578607,No Change
299,2018-08-16,1886.52,1903.94,1905.0,1883.55,3.96M,3960000,8,2018,7470619200.0,0.0022845363453793954,No Change
300,2018-08-15,1882.62,1909.55,1916.21,1869.79,7.70M,7700000,8,2018,14496174000.0,-0.002067298517905991,No Change
301,2018-08-14,1919.65,1919.39,1921.01,1900.0,3.99M,3990000,8,2018,7659403500.0,0.01966939690431424,No Change
302,2018-08-13,1896.2,1898.5,1925.0,1893.67,5.53M,5530000,8,2018,10485986000.0,-0.01221576849946604,No Change
303,2018-08-10,1886.3,1888.51,1899.5,1878.21,3.64M,3640000,8,2018,6866132000.0,-0.0052209682522941225,No Change
304,2018-08-09,1898.52,1882.0,1914.57,1877.48,4.86M,4860000,8,2018,9226807200.0,0.006478290833907607,No Change
305,2018-08-08,1886.52,1861.0,1891.51,1854.5,3.96M,3960000,8,2018,7470619200.0,-0.006320712976423781,No Change
306,2018-08-07,1862.48,1854.53,1869.72,1846.27,3.38M,3380000,8,2018,6295182400.0,-0.012743040094989722,No Change
307,2018-08-06,1847.75,1825.81,1847.77,1818.92,3.39M,3390000,8,2018,6263872500.0,-0.007908809759030966,No Change
308,2018-08-03,1823.29,1837.74,1841.0,1821.5,3.46M,3460000,8,2018,6308583400.0,-0.013237721553240434,No Change
309,2018-08-02,1834.33,1788.77,1836.56,1786.0,4.35M,4350000,8,2018,7979335500.0,0.006054988509781811,No Change
310,2018-08-01,1797.17,1784.0,1798.44,1776.02,4.15M,4150000,8,2018,7458255500.0,-0.020258077881297187,No Change
311,2018-07-31,1777.44,1786.49,1801.83,1739.32,5.74M,5740000,7,2018,10202505600.0,-0.010978371550827148,No Change
312,2018-07-30,1779.22,1827.33,1829.5,1766.02,6.56M,6560000,7,2018,11671683200.0,0.00100144027365201,No Change
313,2018-07-27,1817.27,1876.05,1880.05,1806.53,9.68M,9680000,7,2018,17591173600.0,0.021385775789390937,No Change
314,2018-07-26,1808.0,1839.0,1844.68,1804.5,9.92M,9920000,7,2018,17935360000.0,-0.005101058180677631,No Change
315,2018-07-25,1863.61,1829.3,1863.84,1822.64,3.84M,3840000,7,2018,7156262400.0,0.03075774336283188,No Change
316,2018-07-24,1829.24,1829.01,1840.0,1809.38,4.28M,4280000,7,2018,7829147200.0,-0.018442699921120798,No Change
317,2018-07-23,1802.0,1812.21,1819.0,1769.99,3.89M,3890000,7,2018,7009780000.0,-0.01489143032078899,No Change
318,2018-07-20,1813.7,1825.01,1834.84,1810.06,3.89M,3890000,7,2018,7055293000.0,0.0064927857935628275,No Change
319,2018-07-19,1812.97,1829.46,1841.0,1811.27,4.68M,4680000,7,2018,8484699600.0,-0.00040249214313281545,No Change
320,2018-07-18,1842.92,1848.0,1858.88,1831.27,4.86M,4860000,7,2018,8956591200.0,0.01651985416195534,No Change
321,2018-07-17,1843.93,1811.56,1851.69,1797.38,5.68M,5680000,7,2018,10473522400.0,0.0005480433225533154,No Change
322,2018-07-16,1822.49,1821.95,1841.95,1814.45,5.47M,5470000,7,2018,9969020300.0,-0.01162733943262495,No Change
323,2018-07-13,1813.03,1803.93,1815.3,1795.22,4.39M,4390000,7,2018,7959201700.0,-0.005190700634845724,No Change
324,2018-07-12,1796.62,1764.51,1798.0,1762.18,4.53M,4530000,7,2018,8138688599.999999,-0.009051146423390777,No Change
325,2018-07-11,1755.0,1737.99,1756.96,1734.0,3.21M,3210000,7,2018,5633550000.0,-0.023165722300764746,No Change
326,2018-07-10,1743.07,1738.53,1750.0,1731.0,3.00M,3000000,7,2018,5229210000.0,-0.006797720797720785,No Change
327,2018-07-09,1739.02,1724.05,1739.56,1716.23,3.01M,3010000,7,2018,5234450200.0,-0.0023234867217036825,No Change
328,2018-07-06,1710.63,1696.0,1715.27,1691.67,2.65M,2650000,7,2018,4533169500.0,-0.016325286655702542,No Change
329,2018-07-05,1699.73,1705.38,1710.69,1682.15,2.98M,2980000,7,2018,5065195400.0,-0.006371921455837981,No Change
330,2018-07-03,1693.96,1723.96,1725.0,1692.48,2.18M,2180000,7,2018,3692832800.0,-0.0033946567984326492,No Change
331,2018-07-02,1713.78,1682.7,1713.89,1678.06,3.19M,3190000,7,2018,5466958200.0,0.011700394342251341,No Change
332,2018-06-29,1699.8,1717.0,1723.41,1694.32,4.54M,4540000,6,2018,7717092000.0,-0.008157406434898262,No Change
333,2018-06-28,1701.45,1672.54,1705.5,1661.17,4.53M,4530000,6,2018,7707568500.0,0.0009707024355807281,No Change
334,2018-06-27,1660.51,1708.11,1711.95,1660.0,4.87M,4870000,6,2018,8086683700.0,-0.024061829615915853,No Change
335,2018-06-26,1691.09,1672.37,1701.57,1663.34,4.39M,4390000,6,2018,7423885100.0,0.01841602881042559,No Change
336,2018-06-25,1663.15,1702.51,1705.0,1646.31,7.51M,7510000,6,2018,12490256500.0,-0.016521888249590444,No Change
337,2018-06-22,1715.67,1742.62,1743.0,1711.9,4.08M,4080000,6,2018,6999933600.0,0.031578630911222705,No Change
338,2018-06-21,1730.22,1760.0,1763.1,1717.56,4.94M,4940000,6,2018,8547286800.0,0.008480651873612022,No Change
339,2018-06-20,1750.08,1742.5,1762.93,1741.36,4.33M,4330000,6,2018,7577846400.0,0.011478309116759622,No Change
340,2018-06-19,1734.78,1709.04,1736.11,1700.39,4.29M,4290000,6,2018,7442206200.0,-0.008742457487657673,No Change
341,2018-06-18,1723.79,1706.26,1726.74,1702.56,3.11M,3110000,6,2018,5360986900.0,-0.006335097245760313,No Change
342,2018-06-15,1715.97,1714.0,1720.87,1708.52,4.78M,4780000,6,2018,8202336600.0,-0.004536515468821611,No Change
343,2018-06-14,1723.86,1713.48,1724.8,1708.87,3.17M,3170000,6,2018,5464636200.0,0.004597982482211105,No Change
344,2018-06-13,1704.86,1702.81,1713.75,1700.12,3.33M,3330000,6,2018,5677183800.0,-0.011021776710405717,No Change
345,2018-06-12,1698.75,1693.0,1699.51,1691.52,2.26M,2260000,6,2018,3839175000.0,-0.0035838719894888404,No Change
346,2018-06-11,1689.12,1681.51,1694.24,1680.59,2.34M,2340000,6,2018,3952540799.9999995,-0.005668874172185534,No Change
347,2018-06-08,1683.99,1681.12,1689.44,1673.01,2.96M,2960000,6,2018,4984610400.0,-0.0030370843989768748,No Change
348,2018-06-07,1689.3,1698.56,1699.9,1676.11,3.77M,3770000,6,2018,6368661000.0,0.003153225375447599,No Change
349,2018-06-06,1695.75,1704.51,1714.5,1686.47,5.47M,5470000,6,2018,9275752500.0,0.0038181495293909684,No Change
350,2018-06-05,1696.35,1672.99,1699.0,1670.06,4.78M,4780000,6,2018,8108553000.0,0.0003538257408226553,No Change
351,2018-06-04,1665.27,1648.9,1665.68,1645.49,3.19M,3190000,6,2018,5312211300.0,-0.018321690688831826,No Change
352,2018-06-01,1641.54,1637.03,1646.73,1635.09,3.31M,3310000,6,2018,5433497400.0,-0.014249941450935943,No Change
353,2018-05-31,1629.62,1623.0,1635.0,1621.35,3.17M,3170000,5,2018,5165895400.0,-0.007261473981748923,No Change
354,2018-05-30,1624.89,1618.1,1626.0,1612.93,2.91M,2910000,5,2018,4728429900.0,-0.0029025171512375714,No Change
