Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity
"May 30, 2019","1,816.32","1,825.49","1,829.47","1,807.83",3.15M
"May 29, 2019","1,819.19","1,823.12","1,830.00","1,807.53",4.28M
"May 28, 2019","1,836.43","1,832.75","1,849.27","1,827.35",3.20M
"May 24, 2019","1,823.28","1,835.89","1,841.76","1,817.85",3.37M
"May 23, 2019","1,815.48","1,836.59","1,844.00","1,804.20",4.42M
"May 22, 2019","1,859.68","1,851.78","1,871.48","1,851.00",2.94M
"May 21, 2019","1,857.52","1,874.79","1,879.00","1,846.00",4.01M
"May 20, 2019","1,858.97","1,852.69","1,867.78","1,835.54",3.80M
"May 17, 2019","1,869.00","1,893.05","1,910.53","1,867.33",4.74M
"May 16, 2019","1,907.57","1,885.94","1,917.51","1,882.29",4.71M
"May 15, 2019","1,871.15","1,827.95","1,874.43","1,823.00",4.69M
"May 14, 2019","1,840.12","1,839.50","1,852.44","1,815.75",4.63M
"May 13, 2019","1,822.68","1,836.56","1,846.54","1,818.00",5.78M
"May 10, 2019","1,889.98","1,898.00","1,903.79","1,856.00",5.72M
"May 09, 2019","1,899.87","1,900.00","1,909.40","1,876.00",5.31M
"May 08, 2019","1,917.77","1,918.87","1,935.37","1,910.00",4.08M
"May 07, 2019","1,921.00","1,939.99","1,949.10","1,903.38",5.90M
"May 06, 2019","1,950.55","1,917.98","1,959.00","1,910.50",5.42M
"May 03, 2019","1,962.46","1,949.00","1,964.40","1,936.00",6.38M
"May 02, 2019","1,900.82","1,913.33","1,921.55","1,881.87",3.96M
"May 01, 2019","1,911.52","1,933.09","1,943.64","1,910.55",3.12M
"Apr 30, 2019","1,926.52","1,930.10","1,935.71","1,906.95",3.51M
"Apr 29, 2019","1,938.43","1,949.00","1,956.34","1,934.09",4.02M
"Apr 26, 2019","1,950.63","1,929.00","1,951.00","1,898.00",8.43M
"Apr 25, 2019","1,902.25","1,917.00","1,922.45","1,900.31",6.10M
"Apr 24, 2019","1,901.75","1,925.00","1,929.69","1,898.16",3.68M
"Apr 23, 2019","1,923.77","1,891.20","1,929.26","1,889.58",4.64M
"Apr 22, 2019","1,887.31","1,855.40","1,888.42","1,845.64",3.37M
"Apr 18, 2019","1,861.69","1,868.79","1,870.82","1,859.48",2.75M
"Apr 17, 2019","1,864.82","1,872.99","1,876.47","1,860.44",2.89M
"Apr 16, 2019","1,863.04","1,851.35","1,869.77","1,848.00",3.04M
"Apr 15, 2019","1,844.87","1,842.00","1,846.85","1,818.90",3.72M
"Apr 12, 2019","1,843.06","1,848.40","1,851.50","1,841.30",3.11M
"Apr 11, 2019","1,844.07","1,848.70","1,849.95","1,840.31",2.65M
"Apr 10, 2019","1,847.33","1,841.00","1,848.00","1,828.81",2.96M
"Apr 09, 2019","1,835.84","1,845.49","1,853.09","1,831.78",3.71M
"Apr 08, 2019","1,849.86","1,833.23","1,850.20","1,825.11",3.75M
"Apr 05, 2019","1,837.28","1,829.00","1,838.58","1,825.19",3.64M
"Apr 04, 2019","1,818.86","1,820.65","1,828.75","1,804.20",3.62M
"Apr 03, 2019","1,820.70","1,826.72","1,830.00","1,809.62",3.98M
"Apr 02, 2019","1,813.98","1,811.02","1,820.00","1,805.12",3.45M
"Apr 01, 2019","1,814.19","1,800.11","1,815.67","1,798.73",4.24M
"Mar 29, 2019","1,780.75","1,786.58","1,792.86","1,776.63",3.32M
"Mar 28, 2019","1,773.42","1,770.00","1,777.93","1,753.47",3.04M
"Mar 27, 2019","1,765.70","1,784.13","1,787.50","1,745.68",4.32M
"Mar 26, 2019","1,783.76","1,793.00","1,805.77","1,773.36",4.87M
"Mar 25, 2019","1,774.26","1,757.79","1,782.68","1,747.50",5.10M
"Mar 22, 2019","1,764.77","1,810.17","1,818.98","1,763.11",6.36M
"Mar 21, 2019","1,819.26","1,796.26","1,823.75","1,787.28",5.77M
"Mar 20, 2019","1,797.27","1,769.94","1,799.50","1,767.03",6.27M
"Mar 19, 2019","1,761.85","1,753.51","1,784.16","1,753.51",6.36M
"Mar 18, 2019","1,742.15","1,712.70","1,750.00","1,712.63",5.43M
"Mar 15, 2019","1,712.36","1,703.00","1,718.80","1,693.13",7.55M
"Mar 14, 2019","1,686.22","1,691.20","1,702.00","1,684.34",2.95M
"Mar 13, 2019","1,690.81","1,683.00","1,700.00","1,679.35",3.55M
"Mar 12, 2019","1,673.10","1,669.00","1,684.27","1,660.98",3.61M
"Mar 11, 2019","1,670.62","1,626.12","1,672.29","1,626.01",3.88M
"Mar 08, 2019","1,620.80","1,604.01","1,622.72","1,586.57",4.67M
"Mar 07, 2019","1,625.95","1,667.37","1,669.75","1,620.51",4.96M
"Mar 06, 2019","1,668.95","1,695.97","1,697.75","1,668.28",4.00M
"Mar 05, 2019","1,692.43","1,702.95","1,707.80","1,689.01",3.68M
"Mar 04, 2019","1,696.17","1,685.00","1,709.43","1,674.36",6.17M
"Mar 01, 2019","1,671.73","1,655.13","1,674.26","1,651.00",4.97M
"Feb 28, 2019","1,639.83","1,635.25","1,651.77","1,633.83",3.03M
"Feb 27, 2019","1,641.09","1,628.18","1,641.81","1,615.10",3.15M
"Feb 26, 2019","1,636.40","1,625.98","1,639.99","1,616.13",2.67M
"Feb 25, 2019","1,633.00","1,641.45","1,654.60","1,630.39",3.18M
"Feb 22, 2019","1,631.56","1,623.50","1,634.94","1,621.17",3.10M
"Feb 21, 2019","1,619.44","1,619.85","1,623.56","1,600.91",3.48M
"Feb 20, 2019","1,622.10","1,630.00","1,634.93","1,610.12",3.34M
"Feb 19, 2019","1,627.58","1,601.00","1,634.00","1,600.56",3.68M
"Feb 15, 2019","1,607.95","1,627.86","1,628.91","1,604.50",4.34M
"Feb 14, 2019","1,622.65","1,624.50","1,637.90","1,606.06",4.12M
"Feb 13, 2019","1,640.00","1,647.00","1,656.38","1,637.11",3.56M
"Feb 12, 2019","1,638.01","1,604.00","1,639.39","1,598.88",4.86M
"Feb 11, 2019","1,591.00","1,600.98","1,609.29","1,586.00",3.32M
"Feb 08, 2019","1,588.22","1,586.00","1,588.59","1,566.76",5.66M
"Feb 07, 2019","1,614.37","1,625.00","1,625.54","1,592.91",4.63M
"Feb 06, 2019","1,640.26","1,670.75","1,672.26","1,633.34",3.94M
"Feb 05, 2019","1,658.81","1,643.34","1,665.26","1,642.50",4.45M
"Feb 04, 2019","1,633.31","1,623.00","1,649.63","1,613.50",4.93M
